date,day_name,total_volume,short_volume,long_volume,short_to_long_volume,put_to_call_volume,notional,total_open_interest,put_to_call_open_interest,num_expirations,mean_normalized_straddle_price,sd_normalized_straddle_price,mean_skew,sd_skew
2017-06-01,Thursday,1286431,451554,466806,0.9673268981118495,1.4866690764713502,16243563.975000001,13809847,1.8785633037685001,21,0.0592275238683304,0.006684302760605997,-0.14847857142857143,0.09784995385480645
2017-06-02,Friday,1580175,437885,545583,0.8026001543303218,1.4735144121044772,15694208.025000002,14252470,1.8932316608006834,21,0.05579849242092994,0.007935457016168004,-0.13138333333333335,0.0555311438429638
2017-06-05,Monday,905501,220446,392383,0.5618133303430577,1.4233157238359802,10896001.35,14013120,1.8813807808838996,21,0.05847309189142683,0.004793462281137639,-0.14212619047619043,0.06880379387907469
2017-06-06,Tuesday,767866,362693,308840,1.1743718430255148,1.622090184227151,15321269.525,14152195,1.8755599868659103,22,0.06666323789489971,0.004240905740452469,-0.14574772727272728,0.0860125525686813
2017-06-07,Wednesday,921987,438378,338410,1.2954049821222777,2.450756781843224,13150513.524999999,14433198,1.8838601356013074,21,0.06450095136129677,0.004828503650428813,-0.14455238095238096,0.0846822906602905
2017-06-08,Thursday,804827,360166,276010,1.3049019963044817,1.4966714232535054,10049176.4,14556874,1.897579424360619,21,0.06354349718361048,0.005189566901158859,-0.1573047619047619,0.1154633727790538
2017-06-09,Friday,1512199,777479,516224,1.5060884422266303,1.596268183933069,24254160.025,14854400,1.8993739012236808,21,0.06840989383106104,0.004137849669397599,-0.14332857142857142,0.07439347701088252
2017-06-12,Monday,891506,438832,308649,1.421783320211632,2.1374485307056132,15666574.250000002,14606152,1.8775775485879211,21,0.06969333081110288,0.0050592595775145344,-0.15488571428571427,0.09571582088321103
2017-06-13,Tuesday,1110861,364217,650136,0.5602166315970812,1.3744413166011529,13566011.4,14735231,1.8835391341103536,21,0.06092280304677744,0.005765802902473016,-0.15850952380952382,0.11856358211750838
2017-06-14,Wednesday,1234041,515930,562370,0.917420915055924,1.665591681211011,32906266.325000003,15064756,1.8838189770804943,20,0.06204671999805057,0.005231292741983383,-0.15779,0.14118827376946005
2017-06-15,Thursday,1233196,492388,578405,0.8512858637114132,1.8232315254245048,32919573.299999997,15153885,1.8938194696673705,20,0.06405410705644525,0.0064824231991279305,-0.17761,0.19936496031148498
2017-06-16,Friday,1064665,414499,462304,0.8965940160586973,2.171912147628212,41818363.77499999,11014269,2.019814478140603,20,0.058556815315846854,0.008504618901160959,-0.128425,0.04637074373999193
2017-06-19,Monday,994494,301388,475717,0.6335447335285475,1.460011279757782,22095502.875000004,11315244,2.0510469732460095,20,0.05698695359299424,0.005645172826096672,-0.13782000000000003,0.055912743180781245
2017-06-20,Tuesday,955989,316094,557761,0.5667194371782897,1.66544638376178,29671998.299999997,11498631,2.0266875067944063,21,0.06316501044214139,0.004483924704002767,-0.13936666666666667,0.06321019796665825
2017-06-21,Wednesday,944434,317358,255406,1.2425628215468705,2.8648971607696776,14946876.0,11834283,2.0327254359983127,20,0.0635655778894902,0.004945436542830574,-0.13623,0.07100589482571147
2017-06-22,Thursday,796437,284020,363306,0.78176523371483,1.8082119812418462,10913085.35,12048963,2.08873006123646,20,0.06090856901182139,0.006039653142712784,-0.145245,0.09650747108384926
2017-06-23,Friday,873643,420284,250549,1.6774523147168818,2.321583909968824,8829396.675,12295646,2.0979594099195,19,0.057577124713483634,0.0075985170181931206,-0.13119736842105265,0.05262400011222669
2017-06-26,Monday,903534,330585,368001,0.8983263632435782,1.7708117390904352,7629686.800000001,11942045,2.1010888307209705,19,0.05708278612653225,0.005404089504473406,-0.13431315789473683,0.06902108534068883
2017-06-27,Tuesday,1042446,346872,519660,0.6674979794481006,1.5716231051028087,25282129.225000005,12070559,2.08260723886265,20,0.06883438252825878,0.0051075480694392356,-0.13639249999999997,0.07897320000322895
2017-06-28,Wednesday,894578,399119,290678,1.3730622888557098,2.100618336591385,13067604.475000001,12358984,2.082412939616652,19,0.05910506974423124,0.005768847802415032,-0.14604210526315792,0.1024016245028907
2017-06-29,Thursday,1248401,592987,348550,1.7012968010328504,2.3391848372670276,13273501.4,12404289,2.0851582325469646,19,0.07336851403981506,0.007406630200799385,-0.16297894736842103,0.13918847437518655
2017-06-30,Friday,1018795,450507,343378,1.3119856251710942,2.251528749425522,11101634.825,12799952,2.0911964327459396,19,0.06268330369864629,0.0073886106369180395,-0.13288684210526314,0.03815174632860779
2017-07-03,Monday,528792,224683,124704,1.801730497818835,2.1661916508993366,4992069.375,11883335,2.0594735835304396,19,0.06801420746184474,0.003986302637022321,-0.13235789473684212,0.042394371098425615
2017-07-05,Wednesday,877379,375868,255097,1.4734316750098981,2.1445810768673863,10527304.624999998,11929761,2.0508205797698156,19,0.06434002989037332,0.004613201621549436,-0.13701315789473684,0.05527453930419373
2017-07-06,Thursday,1113301,436072,484202,0.900599336640493,1.825529484918087,14315925.725,11994971,2.059115932485569,20,0.08197787051830657,0.007359245327224823,-0.1409375,0.06543505917128828
2017-07-07,Friday,1159606,405186,492950,0.8219616593975048,1.827596969541798,21609602.525,12376765,2.0660783773580045,20,0.06481265083155031,0.007553038834308117,-0.12734249999999997,0.03626243329880112
2017-07-10,Monday,1045852,275392,489296,0.5628331316830711,1.6975110262825308,10248435.625,12098415,2.0478005600626368,19,0.06474498271770238,0.00360132420720636,-0.1353657894736842,0.0449928797075352
2017-07-11,Tuesday,740929,314860,335757,0.9377615358726699,2.1471307819734102,12365288.225000001,12292072,2.051318548144868,20,0.06486284306514858,0.0036674908581903506,-0.136825,0.05499355757722899
2017-07-12,Wednesday,986283,465955,324463,1.4360805392294345,1.6085862927178907,9824435.3,12486970,2.0578135564291253,19,0.05823385909407068,0.005163057377045458,-0.13985,0.05953544941328743
2017-07-13,Thursday,798309,372478,311272,1.196631884653936,1.5722778402518438,18016404.55,12571952,2.0573671960173336,20,0.055594856400859385,0.006092785156916413,-0.14737750000000002,0.08207148023978851
2017-07-14,Friday,1328197,502869,432518,1.1626545022403691,1.4585723514570619,18658082.299999997,12842032,2.0476311620815064,20,0.053496471747325455,0.006262055807534578,-0.1362625,0.05089654427119782
2017-07-17,Monday,983096,305899,467567,0.6542356496502105,1.5611729704100081,10207740.525,12637564,2.022746244638016,20,0.056621349791371865,0.004052266129256438,-0.144665,0.06940315933010542
2017-07-18,Tuesday,925052,276852,547914,0.5052836759053428,1.3657892852393276,11702099.75,12810045,2.0172121811093504,21,0.056196888475620356,0.0037024481918062875,-0.14795714285714284,0.08740436989962813
2017-07-19,Wednesday,1278978,396728,344473,1.1516954884707946,1.394108034345465,14912607.825000001,13100386,2.0123752085605964,20,0.055113569308370004,0.004137318945959486,-0.1509725,0.10317471647041247
2017-07-20,Thursday,1300484,480791,423368,1.135633774871979,1.285343745936238,15808927.525,13373289,2.029782208383251,20,0.05305738488743907,0.00576284403471522,-0.16337999999999997,0.15231758877424498
2017-07-21,Friday,1090179,367794,459180,0.8009800078400627,1.8207829104147422,16372610.800000003,12071645,1.945523536332852,20,0.051197714902768476,0.007470889486409056,-0.130435,0.04320201123790418
2017-07-24,Monday,732734,281964,270696,1.0416260306764784,1.8133492545565542,12105945.075000001,12379702,1.9462349162468537,19,0.05061341538718589,0.005029425083421238,-0.13690000000000002,0.05007157245804302
2017-07-25,Tuesday,994980,336155,421456,0.7976040203485061,1.3246327240103173,26896988.375,12360088,1.9685325778519747,20,0.05286411339970093,0.003992922809811564,-0.1478025,0.06905779549587433
2017-07-26,Wednesday,1114230,273206,492555,0.5546710519637401,1.6597425786061433,16909159.025,12676873,1.968217255918055,19,0.050709912026196735,0.004609834380269591,-0.1438657894736842,0.06359125447283898
